code,adr,size,tox,ord,logord,,,
Eh9899,2069,810225,25.53611651,1,0,,,Notes
Ej1685,1679,773175,21.71565299,2,0.301029996,,,
EJ1686,1587,620100,25.59264635,3,0.477121255,,,code = batchcode
EK4176,1213,322725,37.58618018,4,0.602059991,,,
Ek5730,2512,875550,28.69053738,5,0.698970004,,,adr = number of adverse reactions
EK9231,3443,1089075,31.61398434,6,0.77815125,,,
EL0140,1235,726375,17.00223714,7,0.84509804,,,size = number of doses shipped in the batch
EL0142,1790,632775,28.28809608,8,0.903089987,,,
EL1283,2262,1159275,19.51219512,9,0.954242509,,,"tox = adverse reactions per 10,000 doses shipped"
EL1284,2300,1010295,22.76562786,10,1,,,
EL3246,2164,995475,21.73836611,11,1.041392685,,,ord = ordinal position of batch code in alphabetic order
EL3247,2506,1077375,23.26023901,12,1.079181246,,,
EL3248,1930,993525,19.42578194,13,1.113943352,,,logord = log (in base 10) of the ordinal position
EL3249,1987,1121250,17.7212932,14,1.146128036,,,
EL3302,1475,1083225,13.61674629,15,1.176091259,,,
EL8982,1917,1274325,15.0432582,16,1.204119983,,,
EL9261,1782,1210950,14.71571906,17,1.230448921,,,
EL9262,1929,1303575,14.79776768,18,1.255272505,,,
EL9263,666,568425,11.7165853,19,1.278753601,,,
EL9264,1423,1269450,11.20957895,20,1.301029996,,,
EL9265,1186,961350,12.33681802,21,1.322219295,,,
EL9266,1132,1219725,9.280780504,22,1.342422681,,,
EL9267,1104,992550,11.12286535,23,1.361727836,,,
EL9269,1438,1374750,10.46008365,24,1.380211242,,,
EM9809,1173,1101750,10.64669843,25,1.397940009,,,
EM9810,1110,1014975,10.93622996,26,1.414973348,,,
EN5318,2619,2644200,9.904697073,27,1.431363764,,,
EN6198,2253,2589210,8.701495823,28,1.447158031,,,
EN6199,2129,2696850,7.894395313,29,1.462397998,,,
EN6200,2337,2388555,9.784158204,30,1.477121255,,,
EN6201,2686,2620800,10.248779,31,1.491361694,,,
EN6202,2279,2615145,8.714621943,32,1.505149978,,,
EN6203,2069,2218125,9.327697943,33,1.51851394,,,
EN6204,2057,2697240,7.626314306,34,1.531478917,,,
EN6205,2626,3224130,8.14483287,35,1.544068044,,,
EN6206,2224,2960100,7.513259687,36,1.556302501,,,
EN6207,2436,3334500,7.305443095,37,1.568201724,,,
EN6208,2537,3149640,8.054888813,38,1.579783597,,,
EN9581,702,544050,12.90322581,39,1.591064607,,,
EP6955,2460,3443310,7.14428849,40,1.602059991,,,
Ep7533,1996,2935530,6.799453591,41,1.612783857,,,
ep7534,2106,2930850,7.185628743,42,1.62324929,,,
ER2613,3177,2764710,11.49125948,43,1.633468456,,,
ER8727,2153,2950740,7.296474783,44,1.643452676,,,
ER8729,2213,3216330,6.880512883,45,1.653212514,,,
ER8730,2023,2896920,6.983278793,46,1.662757832,,,
ER8731,1653,3140280,5.263861821,47,1.672097858,,,
er8732,2554,3180060,8.031295007,48,1.681241237,,,
ER8733,2562,3335670,7.680615888,49,1.69019608,,,
ER8734,1964,3017430,6.508850247,50,1.698970004,,,
ER8735,1876,2877030,6.520613271,51,1.707570176,,,
ER8736,1519,3140280,4.83714828,52,1.716003344,,,
ER8737,1941,3081780,6.298308121,53,1.72427587,,,
EW0150,2322,3539250,6.560712015,54,1.73239376,,,
EW0151,2248,2606760,8.623732143,55,1.740362689,,,
ew0153,1783,2808000,6.3497151,56,1.748188027,,,
Ew0158,1724,2645370,6.517046765,57,1.755874856,,,
EW0161,1579,3100500,5.09272698,58,1.763427994,,,
EW0162,1832,3060720,5.985519747,59,1.770852012,,,
EW0164,1753,2638350,6.644304205,60,1.77815125,,,
EW0165,277,611910,4.526809498,61,1.785329835,,,
ew0167,1415,3079440,4.594991297,62,1.792391689,,,
EW0168,1222,2946060,4.147912806,63,1.799340549,,,
EW0169,1645,2652390,6.20195371,64,1.806179974,,,
EW0170,1403,2953080,4.750971867,65,1.812913357,,,
EW0171,1706,3545100,4.812276099,66,1.819543936,,,
EW0172,2019,3182400,6.344268477,67,1.826074803,,,
EW0173,1806,3140280,5.751079522,68,1.832508913,,,
EW0175,1357,2638350,5.143366119,69,1.838849091,,,
EW0176,1417,3022110,4.688777047,70,1.84509804,,,
EW0177,1486,3189420,4.659154329,71,1.851258349,,,
EW0178,1267,2822040,4.489659962,72,1.857332496,,,
EW0179,1692,3837600,4.409005629,73,1.86332286,,,
EW0180,1417,3078270,4.603234934,74,1.86923172,,,
EW0181,1327,2984670,4.446052662,75,1.875061263,,,
ew0182,1330,2885220,4.609700473,76,1.880813592,,,
EW0183,1243,2965950,4.190900049,77,1.886490725,,,
EW0185,1437,3492450,4.114590044,78,1.892094603,,,
EW0186,1311,3033810,4.321298961,79,1.897627091,,,
EW0187,1442,3065400,4.704116918,80,1.903089987,,,
ew0191,1380,3281850,4.204945381,81,1.908485019,,,
EW0196,1384,2922660,4.735412261,82,1.913813852,,,
EW0198,1181,2373930,4.97487289,83,1.919078092,,,
ew0202,257,650520,3.950685605,84,1.924279286,,,
EW0217,1271,2857140,4.448504449,85,1.929418926,,,
EY0584,374,413010,9.055470812,86,1.934498451,,,
FA6780,1437,3032550,4.738586338,87,1.939519253,,,
FA7484,883,2182500,4.045819015,88,1.944482672,,,
FA7485,1187,2993850,3.964794495,89,1.949390007,,,
FC3180,1195,3046950,3.921954742,90,1.954242509,,,
FC3181,1125,3129750,3.594536305,91,1.959041392,,,
FC3182,991,3254400,3.045108161,92,1.963787827,,,
FC3183,1191,3179250,3.746166549,93,1.968482949,,,
FC3184,1374,3209400,4.281174051,94,1.973127854,,,
FD0809,639,3357750,1.903060085,95,1.977723605,,,
FD0810,68,542400,1.253687316,96,1.982271233,,,
FD7218,180,2720250,0.661703888,97,1.986771734,,,
FD7220,1,10530,0.949667616,98,1.991226076,,,
FD8448,955,2771550,3.445725316,99,1.995635195,,,
FE3590,851,3309930,2.571051352,100,2,,,
FE3592,897,3085290,2.907344204,101,2.004321374,,,
FE3594,292,3548610,0.822857401,102,2.008600172,,,
FF2587,954,2889900,3.301152289,103,2.012837225,,,
FF2588,784,3015090,2.600254055,104,2.017033339,,,
FF2589,829,3045510,2.722039987,105,2.021189299,,,
ff2590,976,3213990,3.036723823,106,2.025305865,,,
FF2593,764,3338010,2.288788829,107,2.029383778,,,
FF8839,927,2783430,3.330423255,108,2.033423755,,,
FF8841,1230,2961270,4.153623276,109,2.037426498,,,
fg3527,654,3287700,1.989232594,110,2.041392685,,,
FH8020,1325,2868840,4.618591486,111,2.045322979,,,
FH8027,570,2992860,1.904532788,112,2.049218023,,,
FH8028,560,2944890,1.901599041,113,2.053078443,,,
fh8030,501,2996370,1.672023148,114,2.056904851,,,
fj1611,216,2757690,0.783264254,115,2.06069784,,,
FJ1614,1,2808000,0.003561254,116,2.064457989,,,
FJ1620,514,3252600,1.580274242,117,2.068185862,,,
FJ8757,342,3368430,1.015309803,118,2.071882007,,,
FJ8762,402,2989350,1.344773948,119,2.075546961,,,
FK5127,2006,10556600,1.90023303,120,2.079181246,,,
FK5618,1095,8891300,1.231540945,121,2.08278537,,,
FL0007,331,11777900,0.281034819,122,2.086359831,,,
fl3197,134,2928510,0.457570573,123,2.089905111,,,
fl3198,40,3086460,0.12959831,124,2.093421685,,,
fl3209,2,2812680,0.007110656,125,2.096910013,,,
FL8094,5,5447200,0.009179028,126,2.100370545,,,
FL8095,30,5468800,0.054856641,127,2.103803721,,,
